"link_vacancy","vacancy_name","skills","create_time","salary","company","work_exp"
"https://spb.hh.ru/vacancy/46390636?from=vacancy_search_list&query=Python","Back-end Developer (Кипр)","['Английский\xa0— C1 — Продвинутый', 'JavaScript', 'Node.js', 'Express.js', 'Mongoose', 'Python', 'NoSQL', 'MongoDB', 'Redis', 'RabbitMQ', 'Linux', 'CI/CD', 'WebRTC', 'Socket.io', 'HTML5']","30 августа 2021","от 3 500 до 5 500 EUR","Helio Games","1–3 года"
"https://spb.hh.ru/vacancy/47518272?from=vacancy_search_list&query=Python","Apache Airflow ETL Developer","[]","[]","","[]",""
"https://spb.hh.ru/vacancy/47500322?from=vacancy_search_list&query=Python","DevOps Engineer / Support Administrator Linux","[]","[]","","[]",""
"https://spb.hh.ru/vacancy/44583100?from=vacancy_search_list&query=Python","Программист C++/Qt","['C++', 'Linux', 'Qt', 'Solid Works', 'API']","30 августа 2021","от 150 000 до 200 000 руб.","НИИ МАСШТАБ","3–6 лет"
"https://spb.hh.ru/vacancy/47509246?from=vacancy_search_list&query=Python","Инженер технической поддержки","['Linux', 'Базы данных', 'HTTP', 'TCP/IP', 'SQL']","31 августа 2021","з/п не указана","ГенАйТи","не требуется"
"https://spb.hh.ru/vacancy/43642322?from=vacancy_search_list&query=Python","SRE/DevOps","['Linux', 'ansible', 'docker']","31 августа 2021","з/п не указана","Click","1–3 года"
"https://spb.hh.ru/vacancy/45961189?from=vacancy_search_list&query=Python","DevOps Engineer (middle)","['Bash', 'Linux', 'Python', 'Ansible', 'Docker']","30 августа 2021","з/п не указана","Совкомбанк Технологии","1–3 года"
"https://spb.hh.ru/vacancy/45684077?from=vacancy_search_list&query=Python","Security engineer","[]","[]","","[]",""
"https://spb.hh.ru/vacancy/42796899?from=vacancy_search_list&query=Python","Инженер-аналитик (СУИБ)","[]","30 августа 2021","з/п не указана","ГАЗИНФОРМСЕРВИС","1–3 года"
"https://spb.hh.ru/vacancy/47496703?from=vacancy_search_list&query=Python","QA engineer","['Функциональное тестирование', 'Автоматизация', 'manual testing', 'Unity', 'тестирование игр']","30 августа 2021","з/п не указана","Playkot","1–3 года"
"https://spb.hh.ru/vacancy/47291113?from=vacancy_search_list&query=Python","Ведущий системный администратор (поддержка)","['Linux', 'Python', 'Bash', 'Техническая поддержка', 'SIP', 'Asterisk', 'Поддержка пользователей', 'Zendesk', 'Debian']","29 августа 2021","от 80 000 руб.","Системы информации и связи","не требуется"
"https://spb.hh.ru/vacancy/45144250?from=vacancy_search_list&query=Python","Senior Product Analyst (GameDev)","[]","31 августа 2021","з/п не указана","Creative Mobile","3–6 лет"
"https://spb.hh.ru/vacancy/47296853?from=vacancy_search_list&query=Python","Специалист MLOps","['Machine Learning', 'ML', 'DS', 'Data Science', 'DevOps', 'MLOps', 'Python']","29 августа 2021","от 150 000 руб.","FunBox","3–6 лет"
"https://spb.hh.ru/vacancy/42462079?from=vacancy_search_list&query=Python","DevOps инженер в команду DNS","[]","[]","","[]",""
"https://spb.hh.ru/vacancy/46917153?from=vacancy_search_list&query=Python","DevOps Инженер","['Linux', 'Git', 'Bash', 'Docker', 'MySQL']","31 августа 2021","з/п не указана","ТаймВэб","1–3 года"
"https://spb.hh.ru/vacancy/47417689?from=vacancy_search_list&query=Python","Преподаватель по программированию в онлайн-школу","['Преподаватель', 'Работа с детьми']","29 августа 2021","до 75 000 руб.","Айтигенио","1–3 года"
"https://spb.hh.ru/vacancy/44386699?from=vacancy_search_list&query=Python","Junior Site Reliability Engineer","[]","[]","","[]",""
"https://spb.hh.ru/vacancy/47430973?from=vacancy_search_list&query=Python","Инженер по автотестированию","[]","[]","","[]",""
"https://spb.hh.ru/vacancy/47506555?from=vacancy_search_list&query=Python","CI engineer","[]","[]","","[]",""
"https://spb.hh.ru/vacancy/45148071?from=vacancy_search_list&query=Python","Web-программист (Linux)","[]","30 августа 2021","з/п не указана","Конфидент","1–3 года"
"https://spb.hh.ru/vacancy/47108594?from=vacancy_search_list&query=Python","Internal Services Administrator (Linux)","[]","[]","","[]",""
"https://spb.hh.ru/vacancy/45139723?from=vacancy_search_list&query=Python","DevOps Engineer (Ginger Team)","[]","[]","","[]",""
"https://spb.hh.ru/vacancy/45769904?from=vacancy_search_list&query=Python","Senior Kernel Developer - KernelCare [Remote]","['Английский\xa0— B2 — Средне-продвинутый', 'Git', 'Python', 'Linux', 'Английский язык', 'Time management', 'Jenkins']","31 августа 2021","з/п не указана","Cloud Linux","3–6 лет"
"https://spb.hh.ru/vacancy/46751096?from=vacancy_search_list&query=Python","Junior C# Developer/DevOps Engineer","['Английский\xa0— B1 — Средний', 'Git', 'Linux', 'Bash', 'Английский язык', 'DevOps', 'PowerShell', 'C#', 'Windows', 'Active Directory', 'Azure']","30 августа 2021","з/п не указана","Netwrix Corporation","1–3 года"
